STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_SP_DYN_AMRT_MA,M,_T,_T,10P3M,_Z,_Z,_Z,2011,_Z,COUNT,2,WB_WDI,P1Y,"Mortality rate, adult, male (per 1,000 male adults)",0,WB_WDI,PU,214.123,A,Annual,Vanuatu,"Mortality rate, adult, male (per 1,000 male adults)",Male,All age ranges or no breakdown by age,Total,Per 1 000 men,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_SP_DYN_IMRT_IN,_T,_T,_T,DT_10P3BR_L,_Z,_Z,_Z,2011,_Z,COUNT,2,WB_WDI,P1Y,"Mortality rate, infant (per 1,000 live births)",0,WB_WDI,PU,16.8,A,Annual,Vanuatu,"Mortality rate, infant (per 1,000 live births)",Total,All age ranges or no breakdown by age,Total,Deaths per 1 000 live births,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_SP_DYN_IMRT_FE_IN,F,_T,_T,DT_10P3BR_L,_Z,_Z,_Z,2011,_Z,COUNT,2,WB_WDI,P1Y,"Mortality rate, infant, female (per 1,000 live births)",0,WB_WDI,PU,15.8,A,Annual,Vanuatu,"Mortality rate, infant, female (per 1,000 live births)",Female,All age ranges or no breakdown by age,Total,Deaths per 1 000 live births,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_SP_DYN_IMRT_MA_IN,M,_T,_T,DT_10P3BR_L,_Z,_Z,_Z,2011,_Z,COUNT,2,WB_WDI,P1Y,"Mortality rate, infant, male (per 1,000 live births)",0,WB_WDI,PU,17.7,A,Annual,Vanuatu,"Mortality rate, infant, male (per 1,000 live births)",Male,All age ranges or no breakdown by age,Total,Deaths per 1 000 live births,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_SH_DYN_NMRT,_T,_T,_T,DT_10P3BR_L,_Z,_Z,_Z,2011,_Z,COUNT,2,WB_WDI,P1Y,"Mortality rate, neonatal (per 1,000 live births)",0,WB_WDI,PU,9.7,A,Annual,Vanuatu,"Mortality rate, neonatal (per 1,000 live births)",Total,All age ranges or no breakdown by age,Total,Deaths per 1 000 live births,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_SH_DYN_MORT,_T,_T,_T,DT_10P3BR_L,_Z,_Z,_Z,2011,_Z,COUNT,2,WB_WDI,P1Y,"Mortality rate, under-5 (per 1,000 live births)",0,WB_WDI,PU,20.5,A,Annual,Vanuatu,"Mortality rate, under-5 (per 1,000 live births)",Total,All age ranges or no breakdown by age,Total,Deaths per 1 000 live births,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_SH_DYN_MORT_FE,F,_T,_T,DT_10P3BR_L,_Z,_Z,_Z,2011,_Z,COUNT,2,WB_WDI,P1Y,"Mortality rate, under-5, female (per 1,000 live births)",0,WB_WDI,PU,19.3,A,Annual,Vanuatu,"Mortality rate, under-5, female (per 1,000 live births)",Female,All age ranges or no breakdown by age,Total,Deaths per 1 000 live births,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_SH_DYN_MORT_MA,M,_T,_T,DT_10P3BR_L,_Z,_Z,_Z,2011,_Z,COUNT,2,WB_WDI,P1Y,"Mortality rate, under-5, male (per 1,000 live births)",0,WB_WDI,PU,21.6,A,Annual,Vanuatu,"Mortality rate, under-5, male (per 1,000 live births)",Male,All age ranges or no breakdown by age,Total,Deaths per 1 000 live births,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_DT_TDS_MLAT_PG_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,Multilateral debt service (% of public and publicly guaranteed debt service),0,WB_WDI,PU,76.63721807526808,A,Annual,Vanuatu,Multilateral debt service (% of public and publicly guaranteed debt service),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_DT_TDS_MLAT_CD,_T,_T,_T,USD,_Z,_Z,_Z,2011,_Z,CUR,2,WB_WDI,P1Y,"Multilateral debt service (TDS, current US$)",0,WB_WDI,PU,3750025.0,A,Annual,Vanuatu,"Multilateral debt service (TDS, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_NY_GDP_NGAS_RT_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,Natural gas rents (% of GDP),0,WB_WDI,PU,0.0,A,Annual,Vanuatu,Natural gas rents (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
